news,prom,userID,user_express,category
28.57142857142857,0.0,727310860369203204,71.42857142857143,2
0.0,0.0,749626533585653763,100.0,2
0.0,0.0,1674848622,100.0,2
50.0,0.0,824821646280294402,50.0,0
0.0,33.33333333333333,948157358,66.66666666666666,2
33.33333333333333,0.0,3153747385,66.66666666666666,2
0.0,100.0,778960482778710016,0.0,1
16.666666666666664,16.666666666666664,817201591665229824,66.66666666666666,2
0.0,0.0,370367276,100.0,2
20.0,40.0,765413191731941381,40.0,1
0.0,0.0,708464870,100.0,2
33.33333333333333,33.33333333333333,14246644,33.33333333333333,0
0.0,0.0,494831663,100.0,2
0.0,100.0,3291107780,0.0,1
0.0,0.0,746209128,100.0,2
100.0,0.0,757663452085256192,0.0,0
40.0,0.0,764851009004810241,60.0,2
66.66666666666666,0.0,87026334,33.33333333333333,0
25.0,0.0,910971900,75.0,2
0.0,0.0,2308368407,100.0,2
14.285714285714285,14.285714285714285,1832555936,71.42857142857143,2
55.55555555555556,22.22222222222222,829153457433092097,22.22222222222222,0
0.0,0.0,755821764,100.0,2
0.0,0.0,2596012867,100.0,2
0.0,0.0,401083571,100.0,2
67.85714285714286,7.142857142857142,833357184616562689,25.0,0
60.0,0.0,858882396,40.0,0
0.0,0.0,4592437881,100.0,2
0.0,100.0,486309086,0.0,1
40.0,0.0,825085719005822978,60.0,2
0.0,100.0,374100307,0.0,1
0.0,0.0,148371379,100.0,2
0.0,50.0,701437937926459393,50.0,1
0.0,0.0,1397238620,100.0,2
100.0,0.0,828247604127526914,0.0,0
74.19354838709677,9.67741935483871,718594822215450626,16.129032258064516,0
35.13513513513514,13.513513513513514,709519823320051713,51.35135135135135,2
50.0,0.0,764702277169012741,50.0,0
0.0,100.0,872754044,0.0,1
40.0,0.0,1166780581,60.0,2
0.0,0.0,757771595914027009,100.0,2
25.0,25.0,4777323223,50.0,2
100.0,0.0,823574578421108737,0.0,0
33.33333333333333,33.33333333333333,1617032035,33.33333333333333,0
0.0,100.0,3783801555,0.0,1
25.0,0.0,555120130,75.0,2
50.0,16.666666666666664,776101315567026177,33.33333333333333,0
0.0,0.0,2885731768,100.0,2
0.0,0.0,2287375280,100.0,2
33.33333333333333,16.666666666666664,275574802,50.0,2
0.0,28.57142857142857,822748394577793025,71.42857142857143,2
83.33333333333334,16.666666666666664,2811405252,0.0,0
0.0,66.66666666666666,614004761,33.33333333333333,1
30.76923076923077,46.15384615384615,852945779127877633,23.076923076923077,1
0.0,100.0,942668280,0.0,1
