,userID
319,2918018660
320,1396035523
321,215834446
322,922587646114721794
323,885123471490949120
324,516954933
325,916705999205076992
326,208699046
327,3350862225
328,1634513468
329,906140636826525697
330,826269571497807872
331,207327687
332,952004224853970944
333,1522357722
334,2724214496
335,721386845897146368
336,1643664516
337,876699942
338,876699942
339,874329320596131844
340,1855688275
341,273393375
342,883269793536770048
343,946528239933181952
344,486272544
345,937510538254282753
346,832138213
347,1497115016
348,2984518686
349,66626908
350,1428056420
351,857815783564619776
352,3680904135
353,814376396009021440
354,2603906890
355,362021609
356,2918018660
357,503766025
358,1634513468
359,830183318
360,3922284153
361,178863212
362,928105037515100160
363,408069175
364,18353701
365,1719866929
366,939410640338341889
367,16703391
368,455408458
369,111670141
370,959523211745615872
371,455408458
372,52141198
373,892504987980505088
374,16703391
375,1327180795
376,96230455
377,1152218101
378,1976715914
379,2706843596
380,113457526
381,111670141
382,1152218101
383,240105784
384,958777878618963969
385,854000327200309252
386,4670159238
387,2491839493
388,1634513468
389,178863212
390,96230455
391,2404927124
392,96230455
393,13657922
394,937915188023627776
395,1110629504
396,900351062976077824
397,4250504237
398,426231419
399,18481429
400,711967601463844864
401,717173734470246403
402,18338324
403,559016656
404,18481429
405,1110629504
406,1392654829
407,2486672795
408,854000327200309252
409,555120130
410,826269571497807872
411,2957895891
412,18481429
413,104563706
414,2849829005
415,766705666316574720
416,2255674806
417,732939357489762308
418,2950030880
419,15149899
420,1269821353
421,3058301888
422,2194725401
423,18481429
424,4921679952
425,877593401507676160
426,766705666316574720
427,86118304
428,736226437557026818
429,1855984458
430,2766685016
431,30929600
432,31801993
433,1963272972
434,33657166
435,2505971881
436,966733557556305921
437,3188106762
438,3380900781
439,723209050314297344
440,2816990400
441,85343799
442,727619034846371840
443,2505971881
444,194294772
445,907263156929605632
446,389763879
447,966733557556305921
448,4271383996
449,896510851708006401
450,766705666316574720
451,20990717
452,791901679
453,236390420
454,766705666316574720
455,20990717
456,1242713210
457,896510851708006401
458,967493689638637568
459,1177868167
460,865066811833937920
461,150633655
462,41627437
463,18481429
464,811189653403471872
465,115489670
466,60448573
467,853299613738164226
468,63317278
469,900351062976077824
470,766705666316574720
471,1963272972
472,2917107117
473,766705666316574720
474,1343069790
475,132343731
476,20433493
477,85030646
478,1283967264
479,15467229
480,1377379662
481,864259464660213760
482,971068456576737281
483,3346655691
484,820424154
485,2734844027
486,2825602188
487,791901679
488,33968088
489,974877843032346626
490,966434568050950144
491,2806772185
492,792927409
493,48086047
494,18481429
495,18481429
496,18481429
497,280652901
498,20444225
499,45652757
500,966733557556305921
501,3269734628
502,791756528994877440
503,3062483090
504,808999290769211392
505,2269342841
