,news,prom,total,userID,user_express,category
403,1,0,7,2169900804,6,2
404,6,1,36,1691391678,29,2
405,0,1,6,440589952,5,2
406,0,1,2,263193768,1,1
407,0,0,2,586996694,2,2
408,28,18,86,254363245,40,2
409,4,0,17,3085900692,13,2
410,0,0,3,211327625,3,2
411,8,2,27,2733320850,17,2
412,4,6,43,2918018660,33,2
413,7,3,45,791901679,35,2
414,0,0,1,302714146,1,2
415,11,14,51,141171231,26,2
416,2,5,17,14885540,10,2
417,6,4,24,2182205055,14,2
418,3,1,19,1105465436,15,2
419,1,1,11,2152114844,9,2
420,7,8,27,2403080618,12,2
421,6,3,20,3037118994,11,2
422,10,4,18,93509250,4,0
423,20,11,44,1246232683,13,0
424,0,0,8,154733329,8,2
425,1,3,25,93952546,21,2
426,0,1,4,983149818,3,2
427,1,1,9,2771417295,7,2
428,15,10,52,21361003,27,2
429,3,1,11,17787007,7,2
430,2,2,8,1322567790,4,2
431,1,1,24,124575662,22,2
432,10,7,92,1868293447,75,2
433,0,1,2,416057780,1,1
434,0,0,2,214755650,2,2
435,116,40,439,34111664,283,2
436,14,21,87,191087923,52,2
437,2,2,8,19568420,4,2
438,3,0,11,3058729218,8,2
439,4,3,11,27459820,4,0
440,7,3,21,85650610,11,2
441,1,4,10,292367611,5,2
442,5,4,24,633162746,15,2
443,0,0,3,619303188,3,2
444,0,0,2,2255962461,2,2
445,1,1,8,2868303467,6,2
446,1,0,20,2866373863,19,2
447,0,0,4,30299378,4,2
448,0,2,5,334219166,3,2
449,4,3,14,319686131,7,2
450,0,1,3,66240365,2,2
451,3,0,5,178208729,2,0
452,0,7,17,2749223617,10,2
453,0,1,4,22395111,3,2
454,5,11,26,175131081,10,1
455,8,15,74,15079397,51,2
456,4,6,31,212735740,21,2
457,0,0,2,15641893,2,2
458,0,1,4,69221928,3,2
459,1,0,2,219621544,1,0
460,0,0,2,339817057,2,2
461,0,0,7,329153422,7,2
462,1,2,6,612981962,3,2
463,42,65,233,848430961,126,2
464,0,2,3,104044363,1,1
465,2,1,20,15501305,17,2
466,5,0,24,3096702665,19,2
467,25,10,73,118788479,38,2
468,2,2,7,763009339,3,2
469,1,0,3,349274140,2,2
470,0,4,7,416095845,3,1
471,0,4,14,3251673165,10,2
472,1,0,3,456970228,2,2
473,1,8,17,24029533,8,1
474,4,7,25,3302035510,14,2
475,8,4,35,1330608092,23,2
476,0,2,3,2491839493,1,1
477,0,0,1,21174071,1,2
478,0,0,1,256232083,1,2
479,6,3,17,939474312,8,2
480,0,0,1,54585605,1,2
481,16,16,63,205212092,31,2
482,2,1,5,377919420,2,0
483,4,1,18,553874473,13,2
484,0,1,9,141989041,8,2
485,0,0,2,598779793,2,2
486,0,0,1,21569394,1,2
487,0,0,1,152580773,1,2
488,0,2,12,513900489,10,2
489,121,185,1561,3119313208,1255,2
490,0,0,1,16920865,1,2
491,0,0,1,500431822,1,2
492,6,6,95,149296998,83,2
493,0,0,1,14997071,1,2
494,2,0,4,193533687,2,0
495,0,0,1,388053408,1,2
496,29,34,121,125322205,58,2
497,0,1,1,16870853,0,1
498,0,1,1,207413706,0,1
499,20,37,172,375622960,115,2
500,2,0,10,2941143199,8,2
501,0,1,1,214963865,0,1
502,0,0,4,1302886736,4,2
503,0,0,2,362285773,2,2
504,0,0,7,619076653,7,2
505,0,0,2,90740310,2,2
506,3,0,9,339469576,6,2
507,2,1,3,290302773,0,0
508,1,0,2,3236330351,1,0
509,1,0,2,1398216566,1,0
510,1,0,4,726442202,3,2
511,2,4,13,3347020744,7,2
512,1,1,3,263379552,1,0
513,0,0,1,19804519,1,2
514,6,12,28,535965453,10,1
515,0,0,3,38374327,3,2
516,0,0,3,46710093,3,2
517,2,0,28,618840573,26,2
518,3,3,13,148572648,7,2
519,0,3,9,1548066600,6,2
520,142,116,901,114780476,643,2
521,1,4,17,16117183,12,2
522,0,0,1,14253469,1,2
523,0,2,3,17589536,1,1
524,11,12,36,110072438,13,2
525,1,1,5,904220588,3,2
526,0,0,2,287357620,2,2
527,1,1,14,391053025,12,2
528,8,1,28,16411289,19,2
529,0,0,1,89710140,1,2
530,0,0,1,1882111657,1,2
531,0,0,1,2924264285,1,2
532,0,0,2,183514411,2,2
533,1,0,3,144289787,2,2
534,2,1,4,14335586,1,0
535,4,3,26,90733366,19,2
536,0,2,10,1964952294,8,2
537,0,0,4,466834322,4,2
538,0,0,1,26488554,1,2
539,1,0,4,20433493,3,2
540,3,0,4,1546892850,1,0
541,2,8,18,1042580473,8,1
542,5,17,55,3380634239,33,2
543,4,4,22,3242470741,14,2
544,2,6,39,2577102728,31,2
545,0,2,5,167148340,3,2
546,1,0,3,2503109077,2,2
547,4,7,14,196936392,3,1
548,0,1,16,361403072,15,2
549,28,32,135,3401810837,75,2
550,0,0,5,24203000,5,2
551,22,26,125,376647652,77,2
552,0,4,7,61201225,3,1
553,0,0,1,2805877722,1,2
554,10,11,75,143142203,54,2
555,0,0,1,396255003,1,2
556,0,0,1,138126622,1,2
557,3,1,21,75653018,17,2
558,0,0,1,2152411645,1,2
559,8,2,22,133052366,12,2
560,14,13,62,67397583,35,2
561,1,0,3,1850306185,2,2
562,0,0,3,20659105,3,2
563,2,0,3,109375308,1,0
564,0,0,5,615061634,5,2
565,1,4,9,2253544608,4,1
566,1,2,5,39805456,2,1
567,8,2,37,55647330,27,2
568,1,3,7,73648642,3,1
569,2,0,15,129709711,13,2
570,0,0,3,88847550,3,2
571,1,3,49,2773606740,45,2
572,5,4,16,2226966265,7,2
573,3,0,20,59052485,17,2
574,0,5,22,176158613,17,2
575,2,4,9,365101455,3,1
576,1,4,29,3236982708,24,2
577,0,0,2,49456169,2,2
578,3,0,3,101627442,0,0
579,2,2,15,3356456315,11,2
580,9,6,34,3428834122,19,2
581,0,0,1,2792365612,1,2
582,2,2,10,60483594,6,2
583,4,1,8,84156052,3,0
584,0,1,4,323328634,3,2
585,2,3,9,1068590689,4,2
586,1,1,8,3412668557,6,2
587,0,0,1,468986222,1,2
588,0,0,6,1611122390,6,2
589,2,0,3,3302972908,1,0
590,1,0,13,21605260,12,2
591,3,3,19,95806273,13,2
592,0,0,1,19550595,1,2
593,0,1,5,16654973,4,2
594,0,2,8,110728224,6,2
595,13,9,30,41627437,8,0
596,0,0,1,19893073,1,2
597,25,16,336,2748339272,295,2
598,5,1,20,3292007596,14,2
599,8,11,51,54327995,32,2
600,1,0,4,164624616,3,2
601,16,16,63,3534713654,31,2
602,18,17,80,113457526,45,2
603,1,0,1,2906321976,0,0
604,2,1,3,2742462995,0,0
605,16,10,51,3504538822,25,2
606,0,0,1,853411141,1,2
607,0,1,2,25687773,1,1
608,34,18,136,50791051,84,2
609,0,1,4,23792669,3,2
610,3,2,37,2240440298,32,2
611,2,2,21,234083542,17,2
612,7,4,26,14500190,15,2
613,0,0,1,529599167,1,2
614,0,0,1,1189114068,1,2
615,0,0,1,246062529,1,2
616,3,1,17,3105669706,13,2
617,1,0,4,2824941946,3,2
618,0,0,3,2903880945,3,2
619,2,3,38,1325161927,33,2
620,43,29,213,3534222021,141,2
621,1,0,6,22275527,5,2
622,0,0,1,627972019,1,2
623,3,1,12,2992890395,8,2
624,6,4,103,1281389126,93,2
625,1,0,3,3675250033,2,2
626,10,2,82,3031192491,70,2
627,7,5,24,1662209748,12,2
628,0,1,4,3145554266,3,2
629,0,0,5,3174037693,5,2
630,3,3,8,14619361,2,0
631,0,0,3,275595575,3,2
632,0,1,4,143745550,3,2
633,8,4,18,97792916,6,0
634,4,4,12,59545968,4,0
635,218,232,1443,21621749,993,2
636,2,4,19,2406773702,13,2
637,2,1,9,62603219,6,2
638,0,1,1,16285883,0,1
639,3,3,14,16188864,8,2
640,0,0,2,13061662,2,2
641,3,1,19,187241511,15,2
642,2,1,23,3027868209,20,2
643,11,7,40,2485476536,22,2
644,1,0,2,103097898,1,0
645,1,1,3,36226144,1,0
646,1,2,7,3512494456,4,2
647,1,0,2,602412673,1,0
648,0,2,3,342298824,1,1
649,6,5,29,573277220,18,2
650,0,1,3,1027793150,2,2
651,15,28,199,322259193,156,2
652,0,0,1,2385562764,1,2
653,1,0,9,21690979,8,2
654,0,0,7,872832890,7,2
655,1,5,15,1367532704,9,2
656,6,5,22,836793907,11,2
657,8,4,27,2966591099,15,2
658,0,1,5,2313799904,4,2
659,2,2,8,194216667,4,2
660,1,1,5,31800110,3,2
661,3,4,18,4046776701,11,2
662,0,0,2,239988349,2,2
663,1,0,2,101904437,1,0
664,1,1,2,3318021703,0,0
665,1,1,2,3311983196,0,0
666,1,0,2,25910502,1,0
667,1,0,11,509690787,10,2
668,2,3,20,194750628,15,2
669,54,30,487,2958811470,403,2
670,27,31,293,720482121807224832,235,2
671,4,6,40,772530484832337920,30,2
672,462,905,7268,706652435960324096,5901,2
673,5,1,68,752614155308310528,62,2
674,63,137,765,2156012966,565,2
675,86,66,465,766705666316574720,313,2
676,4,11,48,3997870336,33,2
677,5,8,131,768178484569108480,118,2
678,56,77,297,4775102675,164,2
679,20,25,145,1386572359,100,2
680,2,49,118,157906892,67,2
681,23,11,57,3248655245,23,0
682,3,6,25,4099926287,16,2
683,4,51,76,77090824,21,1
684,17,10,37,36051159,10,0
685,0,0,2,2230371607,2,2
686,4,0,15,47902468,11,2
687,2,13,41,425893710,26,2
688,59,30,265,1691985792,176,2
689,2,0,13,3038840576,11,2
690,1,0,3,724638977177849856,2,2
691,3,4,25,1469600245,18,2
692,13,18,92,527059571,61,2
693,6,6,38,3308781515,26,2
694,5,5,19,111560720,9,2
695,32,38,185,2340342879,115,2
696,13,10,39,2670271687,16,2
697,3,0,13,759080258104459264,10,2
698,0,0,2,611203680,2,2
699,79,63,445,4072442294,303,2
700,3,26,58,4705502727,29,2
701,0,1,8,110504574,7,2
702,0,0,1,773575765694803968,1,2
703,0,0,2,1072429050,2,2
704,1,1,7,570446938,5,2
705,5,16,49,25892722,28,2
706,47,28,328,302317118,253,2
707,1,0,1,746012909713694720,0,0
708,3,6,37,4993981,28,2
709,12,11,152,14229632,129,2
710,87,17,209,753435229063225344,105,2
711,0,0,1,398037096,1,2
712,15,27,148,4618810394,106,2
713,20,26,81,280172745,35,2
714,29,50,170,3152186729,91,2
715,13,30,98,1884444859,55,2
716,1,1,12,3201441574,10,2
717,0,3,4,15849752,1,1
718,0,1,11,706991328630968320,10,2
719,1,2,5,22695157,2,1
720,0,0,1,1253466152,1,2
721,2,1,12,2555486467,9,2
722,0,0,2,1550068112,2,2
723,2,2,6,1455790448,2,0
724,15,22,69,1287154226,32,2
725,0,1,9,28236017,8,2
726,3,7,44,206364738,34,2
727,1,2,10,2831229490,7,2
728,0,0,1,1149669336,1,2
729,12,7,80,305893248,61,2
730,0,0,1,1523483281,1,2
731,1,0,6,300966588,5,2
732,1,4,10,332899523,5,2
733,0,2,8,112728523,6,2
734,1,4,20,39850685,15,2
735,9,2,23,80635281,12,2
736,13,24,90,4511676442,53,2
737,64,108,425,355483159,253,2
738,0,0,1,442228780,1,2
739,15,16,131,4172351596,100,2
740,1,0,46,2753092466,45,2
741,14,19,275,777593042018693120,242,2
742,0,1,4,2923537920,3,2
743,1,0,2,49084221,1,0
744,1,3,9,731205566731845632,5,2
745,21,38,206,4425663027,147,2
746,4,9,32,484332726,19,2
747,13,3,67,23152434,51,2
748,2,0,15,3458047347,13,2
749,0,1,10,3426298209,9,2
750,0,1,14,1242713210,13,2
751,2,0,4,2486079968,2,0
752,18,9,108,3222921301,81,2
753,12,7,28,262280216,9,0
754,3,14,30,50240793,13,1
755,1,1,6,2680411430,4,2
756,0,0,1,1588034659,1,2
757,0,0,2,3393370513,2,2
758,12,10,102,714145610862080000,80,2
759,1,3,69,14666621,65,2
760,18,14,65,2903624296,33,2
761,1,0,6,4293166275,5,2
762,1,1,4,1280173604,2,2
763,2,2,21,1658367966,17,2
764,1,0,1,514092250,0,0
765,22,7,84,2207496917,55,2
766,0,0,2,258443675,2,2
767,1,6,14,2917001604,7,2
768,0,0,457,362549784,457,2
769,0,0,1,2358333361,1,2
770,11,26,78,196274486,41,2
771,0,0,314,27533192,314,2
772,9,4,26,2474898180,13,2
773,3,2,16,713998580579696640,11,2
774,18,10,56,902028782,28,2
775,7,2,26,117797756,17,2
776,11,9,60,1473383857,40,2
777,0,1,19,1614139668,18,2
778,4,5,18,66127641,9,2
779,11,4,18,2680480200,3,0
780,11,12,50,273362692,27,2
781,0,0,1,744966016833359872,1,2
782,0,0,1,4428603934,1,2
783,0,0,1,2400718102,1,2
784,0,0,1,987707305,1,2
785,0,1,1,13644062,0,1
786,0,0,1,1669192688,1,2
787,0,0,7,765532902335639552,7,2
788,8,1,20,4878600183,11,2
789,0,0,2,4443892294,2,2
790,0,0,4,2230512360,4,2
791,0,0,4,567389852,4,2
792,0,0,2,2214621278,2,2
793,0,0,179,279053092,179,2
794,1,0,1,762537144703340544,0,0
795,1,0,4,1673485957,3,2
796,1,0,1,2756637252,0,0
797,0,0,3,3456044893,3,2
798,3,0,13,211899262,10,2
799,0,1,5,4419810927,4,2
800,0,0,2,1325350934,2,2
801,3,2,32,14263965,27,2
802,1,1,24,2540626868,22,2
803,0,0,20,171006252,20,2
804,8,7,39,526695970,24,2
805,0,0,1,2332909902,1,2
806,0,0,4,760277555324878848,4,2
