,tweetID,url,type,title,location,language
42,959500535379451904,http://twitter.com/COMOVAPOR/status/959500535379451904,Twitter,,USA,en
43,997049512500723712,http://twitter.com/NColdly/status/997049512500723712,Twitter,,VNM,en
44,997041337714098176,http://twitter.com/CrazyDudes6/status/997041337714098176,Twitter,,,en
45,966867803243515904,http://twitter.com/TiceTheKid/status/966867803243515904,Twitter,,"New York, NY, USA",en
46,1041758711784636416,http://twitter.com/LaurentAlex8/status/1041758711784636416,Twitter,,,en
47,1007030543874183168,http://twitter.com/gall_faith/status/1007030543874183168,Twitter,,USA,en
48,1007297139943227392,http://twitter.com/eStream_Studios/status/1007297139943227392,Twitter,,,en
49,928106211945394177,http://twitter.com/HayyyAnna/status/928106211945394177,Twitter,,USA,en
50,974728395362832384,http://twitter.com/cates_sjc/status/974728395362832384,Twitter,,,en
51,903648410338607104,http://twitter.com/NicholasNick01/status/903648410338607104,Twitter,,,en
52,1044037422542131200,http://twitter.com/CbdHealthy/status/1044037422542131200,Twitter,,,en
53,1020371168140947456,http://twitter.com/rachelbritney7/status/1020371168140947456,Twitter,,"Evansville, IN, USA",en
54,1028959810815811584,http://twitter.com/anmolkarnik/status/1028959810815811584,Twitter,,"Mumbai, Maharashtra, IND",en
55,965705558643920896,http://twitter.com/TheRealWapshott/status/965705558643920896,Twitter,,GBR,en
56,958752663079759872,http://twitter.com/jack_mott4/status/958752663079759872,Twitter,,,en
57,943141822863462400,http://twitter.com/laurensalem_/status/943141822863462400,Twitter,,USA,en
58,1024346664130277380,http://twitter.com/BriceKarismatik/status/1024346664130277380,Twitter,,CMR,en
59,933708580808740866,http://twitter.com/bos_gab_/status/933708580808740866,Twitter,,"Washington, DC, DC, USA",en
60,1001570325308542976,http://twitter.com/christinespolar/status/1001570325308542976,Twitter,,"Washington, DC, DC, USA",en
61,953319035235700736,http://twitter.com/Reagan_Nelson/status/953319035235700736,Twitter,,"Emporia, KS, USA",en
62,1041805492786548736,http://twitter.com/OffsideTotalMX/status/1041805492786548736,Twitter,,"Mexico City, Distrito Federal, MEX",en
63,896021155949277185,http://twitter.com/hanyi2042/status/896021155949277185,Twitter,,"Norfolk, VA, USA",en
64,1041678653279678464,http://twitter.com/Ian81677864/status/1041678653279678464,Twitter,,"Atlanta, GA, USA",en
65,1040990564647202816,http://twitter.com/wtf_kdrama/status/1040990564647202816,Twitter,,,en
66,997013645862326273,http://twitter.com/FridayHangouts/status/997013645862326273,Twitter,,,en
67,956889938838130689,http://twitter.com/pittman_nairobi/status/956889938838130689,Twitter,,"Indianapolis, IN, USA",en
68,1041546357666930688,http://twitter.com/duo_high/status/1041546357666930688,Twitter,,,en
69,953267368863653888,http://twitter.com/steezy_panda/status/953267368863653888,Twitter,,"MA, USA",en
70,922299166868598784,http://twitter.com/amandameehan_/status/922299166868598784,Twitter,,,en
71,1036450617596764160,http://twitter.com/torimisiaszek/status/1036450617596764160,Twitter,,"Mitchell, SD, USA",en
72,990044034671489024,http://twitter.com/ChristinaFriel_/status/990044034671489024,Twitter,,"New York, NY, USA",en
73,1039969888582782976,http://twitter.com/djmonroe44/status/1039969888582782976,Twitter,,USA,en
74,883384241500942336,http://twitter.com/NuIndigo108/status/883384241500942336,Twitter,,,en
75,935635049109708800,http://twitter.com/DevinNCHS/status/935635049109708800,Twitter,,"WY, USA",en
76,1041675693015293952,http://twitter.com/gautchakraborty/status/1041675693015293952,Twitter,,"Vancouver, BC, CAN",en
77,962764699115847681,http://twitter.com/COMOVAPOR/status/962764699115847681,Twitter,,USA,en
78,1016829586049417216,http://twitter.com/LanaNerd/status/1016829586049417216,Twitter,,,en
79,892653214490779650,http://twitter.com/wupplesvapelife/status/892653214490779650,Twitter,,,en
80,935901514148835329,http://twitter.com/Filippo_schiavo/status/935901514148835329,Twitter,,"New York, NY, USA",en
81,1004788370692640769,http://twitter.com/DavidJasonPerez/status/1004788370692640769,Twitter,,"CA 91302, USA",en
82,1002203293261672448,http://twitter.com/ACTCC1/status/1002203293261672448,Twitter,,"San Francisco, CA, USA",en
83,1001567574054727680,http://twitter.com/CalHealthline/status/1001567574054727680,Twitter,,"CA, USA",en
84,974732536344727552,http://twitter.com/olivia_sharpe9/status/974732536344727552,Twitter,,,en
85,1002225636314963968,http://twitter.com/MKETobaccoFree/status/1002225636314963968,Twitter,,"Milwaukee, WI, USA",en
86,997013439921967104,http://twitter.com/Hahshhshd4/status/997013439921967104,Twitter,,,en
87,1024099847790579712,http://twitter.com/CStoreNews_/status/1024099847790579712,Twitter,,,en
88,935309887092948998,http://twitter.com/Julio9499/status/935309887092948998,Twitter,,"McAllen, TX, USA",en
89,984414841883504640,http://twitter.com/nickball63/status/984414841883504640,Twitter,,,en
90,992242197050245120,http://twitter.com/gellio_sf/status/992242197050245120,Twitter,,"San Francisco, CA, USA",en
91,1011329937280823298,http://twitter.com/MikeeMcCool/status/1011329937280823298,Twitter,,,en
92,1014687433621983232,http://twitter.com/kennedymatejka3/status/1014687433621983232,Twitter,,RUS,en
93,1013957819366862848,http://twitter.com/pdebois98/status/1013957819366862848,Twitter,,"Kingsville, TX, USA",en
94,997004163027369984,http://twitter.com/queenmahrianna/status/997004163027369984,Twitter,,,en
95,1042172499759443969,http://twitter.com/RipTrippers/status/1042172499759443969,Twitter,,"NC, USA",en
96,947302824349663232,http://twitter.com/OGDadSeeds/status/947302824349663232,Twitter,,,en
97,1013966546190913536,http://twitter.com/cringetendo/status/1013966546190913536,Twitter,,,en
98,996948677901008896,http://twitter.com/DavidJasonPerez/status/996948677901008896,Twitter,,"CA, USA",en
99,1016045747236671490,http://twitter.com/tomaspena_dll/status/1016045747236671490,Twitter,,"PA, USA",en
100,1011329958948556800,http://twitter.com/MikeeMcCool/status/1011329958948556800,Twitter,,,en
101,989188010829754368,http://twitter.com/mihotep/status/989188010829754368,Twitter,,,en
102,1040331340221218817,http://twitter.com/BambiCaon/status/1040331340221218817,Twitter,,USA,en
103,889397979479646210,http://twitter.com/bblvapeshops/status/889397979479646210,Twitter,,,en
104,1034999377939648512,http://twitter.com/sonnyregachuelo/status/1034999377939648512,Twitter,,"Montreal, QC, CAN",en
105,916118261267419137,http://twitter.com/Alecckulpp/status/916118261267419137,Twitter,,"PA, USA",en
106,988678091835817986,http://twitter.com/vaporvanguard/status/988678091835817986,Twitter,,,en
107,997067176174645249,http://twitter.com/capftin/status/997067176174645249,Twitter,,"Kaduna, Kaduna, NGA",en
108,995830834249719809,http://twitter.com/vaporvanguard/status/995830834249719809,Twitter,,,en
109,894545790982664192,http://twitter.com/_dbuskey/status/894545790982664192,Twitter,,"Richmond, VA, USA",en
110,1017780446925471744,http://twitter.com/70zChild/status/1017780446925471744,Twitter,,,en
111,996953865034530816,http://twitter.com/DanMawsonNew/status/996953865034530816,Twitter,,GBR,en
112,995260482222080000,http://twitter.com/_mikayladawn23/status/995260482222080000,Twitter,,,en
113,1000116956857434113,http://twitter.com/emilybazar/status/1000116956857434113,Twitter,,"Sacramento, CA, USA",en
114,1001563343075725314,http://twitter.com/MicheReports/status/1001563343075725314,Twitter,,"Los Angeles, CA, USA",en
115,1001564594588930048,http://twitter.com/Overshadows/status/1001564594588930048,Twitter,,"Sacramento, CA, USA",en
116,1043348388916469761,http://twitter.com/SouthernSpoonie/status/1043348388916469761,Twitter,,"Asheville, NC, USA",en
117,1024338755971252224,http://twitter.com/LiuKang__/status/1024338755971252224,Twitter,,"Washington, DC, DC, USA",en
118,989188039292272640,http://twitter.com/mihotep/status/989188039292272640,Twitter,,,en
119,994975367764041731,http://twitter.com/arshadzaidi1813/status/994975367764041731,Twitter,,USA,en
120,997438333180506112,http://twitter.com/Missspe/status/997438333180506112,Twitter,,NLD,en
121,1022421241381060608,http://twitter.com/ald_ecigarettes/status/1022421241381060608,Twitter,,,en
122,1039894359272030208,http://twitter.com/ChristineRhyner/status/1039894359272030208,Twitter,,,en
123,1042174816835514368,http://twitter.com/monstersRreel/status/1042174816835514368,Twitter,,USA,en
124,894597826704924672,http://twitter.com/lilnoel_/status/894597826704924672,Twitter,,"Denver, CO, USA",en
125,976063253007818752,http://twitter.com/willdaniel123/status/976063253007818752,Twitter,,,en
126,1028096758105206785,http://twitter.com/chloeahudzik/status/1028096758105206785,Twitter,,,en
127,1011976155484676097,http://twitter.com/Missspe/status/1011976155484676097,Twitter,,NLD,en
128,1001565338012602368,http://twitter.com/alexleeds891/status/1001565338012602368,Twitter,,"San Francisco, CA, USA",en
129,1014520489727979520,http://twitter.com/JIMsVapeEscape/status/1014520489727979520,Twitter,,,en
130,892654495875903488,http://twitter.com/ecigitesztek/status/892654495875903488,Twitter,,"Budapest, Budapest, HUN",en
131,1041803189811642368,http://twitter.com/PetschLana/status/1041803189811642368,Twitter,,,en
132,996976776621576194,http://twitter.com/Alejandrorosa98/status/996976776621576194,Twitter,,,en
133,1001604544030126080,http://twitter.com/SandyNesh/status/1001604544030126080,Twitter,,"Irvine, CA, USA",en
134,965358868153995264,http://twitter.com/dinobaik/status/965358868153995264,Twitter,,,en
135,1020136043960578048,http://twitter.com/nalaatweets/status/1020136043960578048,Twitter,,"Chicago, IL, USA",en
136,947434209777512449,http://twitter.com/DetroitBlondi/status/947434209777512449,Twitter,,USA,en
137,1013933776618082304,http://twitter.com/GabrielRdz1247/status/1013933776618082304,Twitter,,USA,en
138,996984225730650112,http://twitter.com/dbalenciags/status/996984225730650112,Twitter,,,en
139,1042483497460543488,http://twitter.com/ChicagoBuckys/status/1042483497460543488,Twitter,,"IL, USA",en
140,961340880291540997,http://twitter.com/COMOVAPOR/status/961340880291540997,Twitter,,USA,en
